donor_name,title,tier,region,gifts,volunteer
Robert Svensson,,Platinum,Northeast,"2010: $25,000, 2013: $30,000, 2016: $40,000, 2020: $50,000",No
Earl Fontaine,,Platinum,Southeast,"2012: $50,000, 2015: $60,000, 2018: $75,000, 2022: $90,000",Yes
Walter Adeyemi,,Platinum,Midwest,"2014: $20,000, 2017: $25,000, 2020: $30,000",No
Ralph Osei-Bonsu,,Platinum,West,"2013: $40,000, 2016: $50,000, 2019: $65,000, 2023: $80,000",Yes
Victor Ambrosius,,Platinum,International,"2011: $30,000, 2014: $35,000, 2017: $45,000, 2021: $55,000",No
James Whitfield,,Gold,Northeast,"2015: $5,000, 2017: $8,000, 2019: $10,000, 2022: $12,000",Yes
Dorothy Callahan,,Gold,Southeast,"2020: $2,000, 2021: $2,500, 2022: $3,000, 2023: $3,500",No
Deborah Sorenson,,Gold,Midwest,"2016: $4,000, 2018: $5,000, 2020: $6,000, 2022: $7,000",No
Angela Petersen,,Gold,West,"2017: $3,500, 2019: $4,500, 2021: $5,500",No
Grace Thornton,,Gold,International,"2020: $2,500, 2021: $3,000, 2022: $3,500, 2023: $4,000",No
Linda Petrov,,Gold,Northeast,"2019: $10,000, 2021: $12,500, 2023: $15,000",No
Helen Magnusson,,Gold,Southeast,"2018: $8,000, 2020: $10,000, 2022: $12,000",No
Maria Yamamoto,,Gold,Midwest,"2018: $6,000, 2020: $7,500, 2022: $9,000",No
Emma Bergstrom,,Gold,West,"2019: $5,000, 2021: $6,500, 2023: $8,000",No
Nora Bergqvist,,Gold,International,"2018: $9,000, 2020: $11,000, 2022: $13,000",No
Nancy Okafor,,Gold,Southeast,"2017: $5,000, 2019: $6,000, 2021: $7,500",No
Vera Johansson,,Gold,International,"2017: $7,000, 2019: $8,000, 2021: $9,000",No
Margaret Alcott,,Silver,Northeast,"2019: $500, 2020: $750, 2021: $1,000, 2022: $1,200, 2023: $1,500",No
Harold Mensah,,Silver,Southeast,"2021: $1,000, 2022: $1,200, 2023: $1,400",Yes
Barbara Jensen,,Silver,Midwest,"2021: $1,000, 2022: $1,500, 2023: $2,000",No
Betty Nakagawa,,Silver,West,"2021: $1,500, 2022: $2,000, 2023: $2,500",No
Ada Yamamoto-Pierce,,Silver,International,"2020: $3,500, 2021: $4,000, 2022: $4,500, 2023: $5,000",Yes
Claire Oduya,,Silver,Northeast,"2018: $1,500, 2019: $2,000, 2023: $3,000",Yes
Ruth Andersen,,Silver,Southeast,"2019: $3,000, 2020: $4,000, 2021: $5,000, 2022: $6,000, 2023: $7,000",Yes
Janet Okonkwo,,Silver,Midwest,"2019: $2,000, 2021: $2,500, 2023: $3,000",Yes
Shirley Magnusdottir,,Silver,West,"2020: $4,000, 2021: $5,000, 2022: $6,000, 2023: $7,000",Yes
Owen Oduya,,Silver,International,"2021: $800, 2022: $1,000, 2023: $1,200",Yes
Susan Nakamura,,Silver,Northeast,"2020: $500, 2021: $750, 2022: $1,000, 2023: $1,250, 2024: $1,500",Yes
Joe Iwamoto,,Silver,West,"2020: $750, 2021: $900, 2022: $1,100, 2023: $1,300",Yes
Michael Torres,,Lapsed,Northeast,"2017: $500, 2018: $600, 2019: $700",No
Charles Kimura,,Lapsed,Southeast,"2015: $400, 2016: $400, 2017: $400",No
Paul Achebe,,Lapsed,Midwest,"2017: $300, 2018: $300, 2019: $300",No
Frank Watanabe,,Lapsed,West,"2016: $350, 2017: $350, 2018: $350",No
Lars Achebe-Nielsen,,Lapsed,International,"2015: $400, 2016: $400, 2017: $400",No
Thomas Bergmann,,Lapsed,Northeast,"2014: $300, 2015: $300",No
Frank Dimitriou,,Lapsed,Southeast,"2016: $200, 2017: $200, 2018: $200",No
Raymond Volkov,,Lapsed,Midwest,"2019: $250, 2020: $250",No
Henry Obi,,Lapsed,West,"2018: $150, 2019: $200",No
Felix Mensah-Bonsu,,Lapsed,International,"2019: $300, 2020: $300",No
Patricia Huang,,Bronze,Northeast,"2021: $200, 2022: $250",No
Brenda Kowalski,,Bronze,Southeast,"2023: $150",No
Carol Eriksson,,Bronze,Midwest,"2023: $100",No
Kathy Lindberg,,Bronze,West,"2022: $125",No
Iris Kowalczyk,,Bronze,International,"2023: $200",No
David Osei,,Bronze,Northeast,"2022: $75, 2023: $100",No
George Nwosu,,Bronze,Southeast,"2022: $50, 2023: $75",No
Samuel Lindqvist,,Bronze,Midwest,"2022: $50",No
Jack Nkemdirim,,Bronze,West,"2023: $50",No
Igor Volkov,,Bronze,International,"2022: $75",No
Arthur Mwangi,,Bronze,Midwest,"2020: $500, 2021: $600, 2022: $700, 2023: $800",Yes
